444 | 2026-03-11 19:26:55,783 | uber | INFO | Thread-20 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,875 | uber | INFO | MainThread | Database connection established
444 | 2026-03-11 19:26:55,783 | uber | INFO | Thread-15 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,784 | uber | INFO | Thread-14 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,789 | uber | INFO | Thread-16 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,792 | uber | INFO | Thread-19 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,792 | uber | INFO | Thread-17 (fun1) | Database connection established
552 | 2026-03-11 19:26:57,347 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:57,348 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:57,349 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:57,350 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:57,351 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:57,788 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:57,835 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:55,923 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:57,998 | uber | INFO | MainThread | Starting batch processing total_records=1000
552 | 2026-03-11 19:26:56,125 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:58,150 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:58,151 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:58,152 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:58,153 | uber | INFO | MainThread | Child batches executed count=0
